ts,id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14
2024-11-13 01:17:33.155227,308,2.16840434497101E-19,1.0958216703983E-17,0.1285697555971,1.87169322705704E-17,2.75957276475293E-17,1.2749784090355E-17,1.62044301796437E-03,1.86037462317497E-17,7.08842748394851E-18,3.75278324937025E-17,1.19725403050532E-03,2.22144495623735E-18,1.68069400935128E-17,1.21421797280406E-17,1.95774007877926E-04
2024-11-13 01:19:26.960263,309,3.27971157176865E-18,1.58360622912723E-17,0.128133955077104,9.855258990044E-18,1.18409032150547E-17,1.14223745305478E-17,1.25221548496238E-03,2.78890840559088E-17,2.28979098722106E-17,4.08490207031147E-17,9.8454813880593E-04,1.46891388795125E-17,1.63027782400012E-17,1.14359875229398E-17,1.76428506731296E-04
2024-11-13 01:21:20.761022,310,6.30192512757199E-18,9.98432857608322E-18,0.127692719025364,1.34032178695941E-17,1.1650940678272E-17,2.67032327729259E-17,9.16038211116159E-04,2.97919576043283E-17,9.92753336503825E-18,4.544437097302E-17,7.67403430672206E-04,9.56883743071198E-18,1.60926387720626E-17,1.05689027569913E-17,1.30732494175909E-04
2024-11-13 01:23:14.561806,311,4.63496428737553E-18,1.39203716753835E-17,0.127223136850437,1.3701513990092E-17,1.47475614305994E-17,2.68652229528773E-17,6.36301637809795E-04,3.25294775886959E-17,8.07200731422175E-18,3.41375204570261E-17,5.46527271615137E-04,5.06735389755651E-18,1.78081862984519E-17,9.74892518361514E-18,7.0527637715752E-05
2024-11-13 01:25:08.377747,312,3.9979955110403E-18,1.88555224229851E-17,0.126742784411166,1.86902631271514E-17,9.94230831509185E-18,1.01742724491485E-17,4.06708968518308E-04,2.5248350954674E-17,1.14561536520853E-17,3.56441669695009E-17,3.37248734638629E-04,6.51139094961291E-18,1.4118845247908E-17,1.14917728454428E-17,3.88062613342345E-06
2024-11-13 01:27:02.169987,313,3.25260651745651E-19,4.03939023246143E-17,0.126241526857101,1.73711475230758E-17,7.78153209883996E-18,1.38289653454822E-17,2.28392791656805E-04,3.4080795781338E-17,1.03092396072438E-17,3.93176946664153E-17,1.41239691675636E-04,9.52083920310258E-18,1.88764436840602E-17,1.4113985378308E-17,8.50873685966415E-05
2024-11-13 01:28:55.946466,314,5.82758667710959E-19,2.58825649976555E-17,0.125734167801132,3.93761671968703E-18,9.36589803655011E-18,2.38346100993809E-17,1.10569554352972E-04,3.22761521719497E-17,6.60599356154679E-18,3.75915887526684E-17,2.96135088138694E-05,3.58165898684198E-18,1.5613820898017E-17,5.58510386498443E-18,1.67753115132366E-04
2024-11-13 01:30:49.746080,315,8.63295979841583E-18,1.88905598349814E-17,0.125192053059136,1.30563636257542E-17,2.03137877954444E-17,3.12184884880757E-17,3.58571949730615E-05,2.48838516911345E-17,5.05500029693098E-18,3.3696159134624E-17,1.68390417165322E-04,1.1088096547156E-17,1.59065496160206E-17,1.18931917055514E-17,2.43213938975602E-04
2024-11-13 01:32:43.555194,316,3.72694496791892E-18,1.07780243577214E-17,0.124649268430671,9.19679545622228E-18,1.50223719487213E-17,3.02442239475701E-17,3.37725972078624E-05,2.81048985894733E-17,3.25206532171265E-18,3.3256693969934E-17,2.74996990942758E-04,8.49438740125904E-18,2.37627960246978E-17,1.27546117344253E-17,3.05332638899594E-04
2024-11-13 01:34:37.346081,317,5.67850887839283E-18,2.1501253624199E-17,0.124077241342977,3.95821525637402E-18,1.27822800213784E-17,2.31531278558786E-17,7.59116716211329E-05,2.66939383646213E-17,3.55438332415751E-18,4.24927156382101E-17,3.38713305104513E-04,3.60597702501428E-18,1.85885190912279E-17,1.28569916259258E-17,3.49168316398229E-04
2024-11-13 01:36:31.152993,318,1.00153175683348E-17,2.23154754818381E-17,0.123502391056128,1.32294246296556E-17,1.08322730302836E-17,2.51401475200117E-17,1.91196381661758E-04,2.39462005322505E-17,6.56514438613402E-18,3.34680199742559E-17,3.67788015206758E-04,2.57328677413599E-18,1.99357947905514E-17,1.44369262080682E-17,3.72578418022085E-04
2024-11-13 01:38:24.954616,319,7.39967982721357E-18,2.6590713571773E-17,0.122859597999382,1.87873558001773E-17,1.61744787546792E-17,9.43690360211898E-18,3.76295221866234E-04,2.26559286622142E-17,9.73213804702989E-18,5.01839454553845E-17,3.4192291363625E-04,6.47859809763249E-18,2.5472997629732E-17,1.20896283332761E-17,3.68349521933213E-04
